Price,Short average,Long average,Positions
10832.3,10834.82,10830.33,0
10833.1,10834.95,10830.378,-1
10832.2,10835.06,10830.422,0
10832.5,10835.01,10830.502,0
10832.8,10834.97,10830.584,0
10833.5,10834.93,10830.664,0
10834.4,10834.88,10830.744,0
10833.2,10834.82,10830.822,0
10833.5,10834.57,10830.902,
10834.0,10834.31,10830.984,
10834.5,10834.04,10831.07,
10835.5,10833.78,10831.152,
10832.7,10833.53,10831.236,
10833.0,10833.34,10831.316,
10833.3,10833.14,10831.398,
10833.9,10832.96,10831.48,
10834.8,10832.8,10831.564,
10832.7,10832.63,10831.648,
10833.0,,10831.728,
10833.4,,10831.81,
10834.0,,10831.892,
10834.7,,10831.976,
10833.2,,10832.054,
10833.7,,10832.134,
10834.2,,10832.22,
10835.2,,10832.306,
10836.3,,10832.396,
10833.7,,10832.492,
10833.9,,10832.572,
10834.3,,10832.65,
10834.8,,10832.73,
10835.7,,10832.8,
10833.7,,10832.866,
10833.9,,10832.956,
10834.2,,10833.046,
10834.9,,10833.134,
10835.8,,10833.226,
10834.7,,10833.318,
10835.0,,10833.398,
10835.5,,10833.48,
10836.1,,10833.566,
10836.8,,10833.65,
10833.2,,10833.732,
10833.5,,10833.772,
10833.8,,10833.814,
10834.4,,10833.856,
10835.2,,10833.9,
10832.2,,10833.944,
10832.4,,10833.964,
10832.8,,10833.982,
10833.5,,10834.002,
10834.3,,10834.026,
10831.3,,10834.05,
10831.5,,10834.032,
10832.0,,10834.012,
10832.8,,10833.996,
10833.5,,10833.982,
,,10833.964,
