Price,Short average,Long average,Positions
5989.7,,5987.682,
5986.8,,5987.708,
5987.3,,5987.718,
5988.0,,5987.728,
5988.4,,5987.738,
5989.3,,5987.74,
5986.8,,5987.74,
5987.2,,5987.75,
5987.7,,5987.754,
5988.4,,5987.766,
5989.1,,5987.776,
5987.3,,5987.782,
5987.7,,5987.792,
5988.2,,5987.8,
5988.7,,5987.804,
5989.4,,5987.802,
5987.3,,5987.792,
5987.7,,5987.812,
5988.3,,5987.826,
5988.9,,5987.8460000000005,
5989.9,,5987.862,
5987.8,,5987.884,
5988.2,,5987.914,
5988.9,,5987.938,
5989.4,,5987.974,
5991.0,,5988.006,
5987.3,,5988.048,
5988.0,,5988.068,
5988.1,,5988.088,
5988.7,,5988.108,
5989.9,,5988.128,
5986.3,,5988.158,
5986.7,,5988.158,
5987.3,,5988.158,
5987.9,,5988.158,
5988.8,,5988.156,
,,5988.156,
